term,side,end_date,honorific_suffix,start_date,honorific_prefix,name,id,role
1,Government,"","","",Major,R J Peliza,1,Chief Minister
1,Government,"","","",,M Xiberras,2,Minister for Labour and Social Security
1,Government,"","","",Major,A J Gache,3,"Minister for Information, Port Trade & Industry"
1,Government,"","","",,J Caruana,4,Minister for Medical and Health Services
1,Government,"","","",,W M Isola,5,Minister for Tourism and Municipal Services
1,Government,"","","",Miss,C Anes,6,Minister for Public Works and Housing
1,Government,"","","",,L Devincenzi,7,Minister for Education and Recreation
1,Government,"",CBE QC,"",,C B O’Beirne,8,Attorney General
1,Government,"",CMG OBE,"",,E H Davies,9,Financial & Development Secretary
1,Government,"",OBE,"",,P J Isola,10,
1,Opposition,"",CBE MVO QC JP,"",Sir,Joshua Hassan,11,Leader of the Opposition
1,Opposition,"",OBE JP,"",,A W Serfaty,12,
1,Opposition,"",OBE,"",,A P Montegriffo,13,
1,Opposition,"",OBE JP,"",,E J Alvarez,14,
1,Opposition,"","","",,M K Featherstone,15,
1,Opposition,"","","",,I Abecasis,16,
1,Opposition,"","","",Lt. Col.,J L Hoare,17,
2,Government,"",CBE MVO QC JP,"",Sir,Joshua Hassan,11,Chief Minister
2,Government,"",OBE JP,"",,A W Serfaty,12,"Minister for Tourism, Trade & Economic Development"
2,Government,"",OBE,"",,A P Montegriffo,13,Minister for Medical and Health Services
2,Government,"","","",,M K Featherstone,15,Minister for Education
2,Government,"","","",,A J Canepa,18,Minister for Labour and Social Security
2,Government,"","","",,I Abecasis,16,Minister for Housing
2,Government,"","","",Lt. Col.,J L Hoare,17,Minister for Public Works and Municipal Services
2,Government,"","","",,H J Zammitt,19,Minister for Information and Sport
2,Government,"",CMG QC,"",,R H Hickling,20,Attorney General
2,Government,"",CBE,"",,C J Gomez,21,Financial & Development Secretary (Acting)
2,Opposition,"","","",Major,R J Peliza,1,Leader of the Opposition
2,Opposition,"","","",,M Xiberras,2,
2,Opposition,"",OBE,"",,P J Isola,10,
2,Opposition,"","","",,W M Isola,5,
2,Opposition,"","","",,J Caruana,4,
2,Opposition,"","","",,L Devincenzi,7,
2,Opposition,"","","",,J J Bossano,22,
3,Government,"",CBE MVO QC JP,"",Sir,Joshua Hassan,11,Chief Minister
3,Government,"","","",,A J Canepa,18,Minister for Labour and Social Security
3,Government,"","","",,H J Zammitt,19,Minister for Housing and Sport
3,Government,"",OBE,"",,A P Montegriffo,13,Minister for Medical & Health Services
3,Government,"",ED,"",Major,F J Dellipiani,23,Minister for Municipal Services
3,Government,"","","",,I Abecasis,16,Minister for Postal Services
3,Government,"",OBE JP,"",,A W Serfaty,12,"Minister for Tourism, Trade & Economic Development"
3,Government,"","","",,M K Featherstone,15,Minister for Education and Public Works
3,Government,"",OBE QC,"",,J K Havers,24,Attorney General
3,Government,"","","",,A Collings,25,Financial & Development Secretary
3,Opposition,"","","",,J J Bossano,22,Leader of the Opposition
3,Opposition,"","","",Dr.,R G Valarino,26,
3,Opposition,"","","",,J B Perez,27,
3,Opposition,"","","",,G T Restano,28,
3,Opposition,"","","",,M Xiberras,2,
3,Opposition,"",OBE,"",,P J Isola,10,
3,Opposition,"","","",Major,R J Peliza,1,
4,Government,"",CBE MVO QC JP,"",Sir,Joshua Hassan,11,Chief Minister
4,Government,"","","",,A J Canepa,18,"Minister for Economic Development, Trade & Labour and Social Security"
4,Government,"","","",,M K Featherstone,15,Minister for Public Works
4,Government,"","","",,I Abecasis,16,Minister for Tourism and Postal Services
4,Government,"","","",,H J Zammitt,19,Minister for Housing and Sport
4,Government,"",ED,"",Major,F J Dellipiani,23,Minister for Education
4,Government,"","","",Dr,R G Valarino,26,Minister for Municipal Services
4,Government,"","","",,J B Perez,27,Minister for Medical and Health Services
4,Government,"","","",,D Hull,29,Attorney General
4,Government,"",CMG OBE,"",,R J Wallace,30,Financial & Development Secretary
4,Opposition,"",OBE,"",,P J Isola,10,Leader of the Opposition
4,Opposition,"","","",,G T Restano,28,
4,Opposition,"","","",Major,R J Peliza,1,
4,Opposition,"","","",,W T Scott,31,
4,Opposition,"","","",,A T Loddo,32,
4,Opposition,"","","",,A J Haynes,33,
4,Opposition,"","","",,J J Bossano,22,
5,Government,"",CBE MVO QC JP,"",Sir,Joshua Hassan,11,Chief Minister
5,Government,"","","",,A J Canepa,18,Minister for Economic Development and Trade
5,Government,"","","",,M K Featherstone,15,Minister for Public Works
5,Government,"","","",,H J Zammitt,19,Minister for Tourism
5,Government,"",ED,"",Major,F J Dellipiani,23,"Minister for Housing, Labour & Social Security"
5,Government,"","","",Dr.,R G Valarino,26,Minister for Municipal Services
5,Government,"","","",,J B Perez,27,Minister for Education and Health
5,Government,"","","",,G Mascarenhas,34,Minister for Sport and Postal Services
5,Government,"","","",,E Thistlethwaite,35,Acting Attorney General
5,Government,"","","",,B Traynor,36,Financial & Development Secretary
5,Opposition,"","","",,J J Bossano,22,Leader of the Opposition
5,Opposition,"","","",,J E Pilcher,37,
5,Opposition,"","","",,M A Feetham,38,
5,Opposition,"","","",Miss,M I Montegriffo,39,
5,Opposition,"","","",,J C Perez,40,
5,Opposition,"","","",,J L Baldachino,41,
5,Opposition,"","","",,R Mor,42,
6,Government,"","","",,J J Bossano,22,Chief Minister
6,Government,"","","",,J E Pilcher,37,Minister for GSL and Tourism
6,Government,"","","",,J L Baldachino,41,Minister for Housing
