start_date,name,end_date,id
1969,First House of Assembly,1972,1
1972,Second House of Assembly,1976,2
1976,Third House of Assembly,1980,3
1980,Fourth House of Assembly,1984,4
1984,Fifth House of Assembly,1988,5
1988,Sixth House of Assembly,1992,6
1992,Seventh House of Assembly,1996,7
1996,Eighth House of Assembly,2000,8
2000-02-23,Ninth House of Assembly,2003-10-24,9
2003-12-18,Tenth House of Assembly,2007-09-07,10
2007-11-08,Eleventh Gibraltar Parliament,2011-11-03,11
2011-12-21,Twelfth Gibraltar Parliament,2015-10-20,12
2015-12-09,Thirteenth Gibraltar Parliament,,13
