id,name,state,constituency,constituency_id,wikipedia,wikipedia__en,party_id,party,term,source,area,coalition,coalition_id
aaron_ago_dagang,Aaron Ago Dagang,Sarawak,Kanowit,P210-13,http://en.wikipedia.org/wiki/Aaron_Ago_Dagang,Aaron Ago Dagang,PRS,Parti Rakyat Sarawak,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kanowit, Sarawak",Barisan Nasional,BN
abd._aziz_sheikh_fadzir,Abd. Aziz Sheikh Fadzir,Kedah,Kulim-Bandar Baharu,P018-13,http://en.wikipedia.org/wiki/Abd._Aziz_Sheikh_Fadzir,Abd. Aziz Sheikh Fadzir,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kulim-Bandar Baharu, Kedah",Barisan Nasional,BN
abdul_azeez_abdul_rahim,Abdul Azeez Abdul Rahim,Kedah,Baling,P016-13,http://en.wikipedia.org/wiki/Abdul_Azeez_Abdul_Rahim,Abdul Azeez Abdul Rahim,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Baling, Kedah",Barisan Nasional,BN
abdul_ghapur_salleh,Abdul Ghapur Salleh,Sabah,Kalabakan,P191-13,http://en.wikipedia.org/wiki/Abdul_Ghapur_Salleh,Abdul Ghapur Salleh,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kalabakan, Sabah",Barisan Nasional,BN
abdul_hadi_awang,Abdul Hadi Awang,Terengganu,Marang,P037-13,http://en.wikipedia.org/wiki/Abdul_Hadi_Awang,Abdul Hadi Awang,PAS,Pan-Malaysian Islamic Party,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Marang, Terengganu",,
abdul_khalid_ibrahim,Abdul Khalid Ibrahim,Federal Territory of Kuala Lumpur,Bandar Tun Razak,P124-13,http://en.wikipedia.org/wiki/Abdul_Khalid_Ibrahim,Abdul Khalid Ibrahim,IND,Independent,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Bandar Tun Razak, Federal Territory of Kuala Lumpur",,
abdul_latiff_ahmad,Abdul Latiff Ahmad,Johor,Mersing,P154-13,http://en.wikipedia.org/wiki/Abdul_Latiff_Ahmad,Abdul Latiff Ahmad,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Mersing, Johor",Barisan Nasional,BN
abdul_manan_ismail,Abdul Manan Ismail,Pahang,Paya Besar,P084-13,http://en.wikipedia.org/wiki/Abdul_Manan_Ismail,Abdul Manan Ismail,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Paya Besar, Pahang",Barisan Nasional,BN
abdul_rahim_bakri,Abdul Rahim Bakri,Sabah,Kudat,P167-13,http://en.wikipedia.org/wiki/Abdul_Rahim_Bakri,Abdul Rahim Bakri,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kudat, Sabah",Barisan Nasional,BN
abdul_rahman_dahlan,Abdul Rahman Dahlan,Sabah,Kota Belud,P169-13,http://en.wikipedia.org/wiki/Abdul_Rahman_Dahlan,Abdul Rahman Dahlan,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kota Belud, Sabah",Barisan Nasional,BN
abdul_rahman_mohamad,Abdul Rahman Mohamad,Pahang,Lipis,P079-13,,,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Lipis, Pahang",Barisan Nasional,BN
abdullah_sani_abdul_hamid,Abdullah Sani Abdul Hamid,Selangor,Kuala Langat,P112-13,http://en.wikipedia.org/wiki/Abdullah_Sani_Abdul_Hamid,Abdullah Sani Abdul Hamid,PKR,People's Justice Party,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kuala Langat, Selangor",Pakatan Harapan,PH
abu_bakar_mohamad_diah,Abu Bakar Mohamad Diah,Malacca,Tangga Batu,P136-13,,,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Tangga Batu, Malacca",Barisan Nasional,BN
ahmad_baihaki_atiqullah,Ahmad Baihaki Atiqullah,Kelantan,Kubang Kerian,P024-13,,,PAS,Pan-Malaysian Islamic Party,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kubang Kerian, Kelantan",,
ahmad_fauzi_zahari,Ahmad Fauzi Zahari,Federal Territory of Kuala Lumpur,Setiawangsa,P118-13,,,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Setiawangsa, Federal Territory of Kuala Lumpur",Barisan Nasional,BN
ahmad_hamzah,Ahmad Hamzah,Malacca,Jasin,P139-13,http://en.wikipedia.org/wiki/Ahmad_Hamzah,Ahmad Hamzah,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Jasin, Malacca",Barisan Nasional,BN
ahmad_husni_hanadzlah,Ahmad Husni Hanadzlah,Perak,Tambun,P063-13,http://en.wikipedia.org/wiki/Ahmad_Husni_Hanadzlah,Ahmad Husni Hanadzlah,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Tambun, Perak",Barisan Nasional,BN
ahmad_jazlan_yaakub,Ahmad Jazlan Yaakub,Kelantan,Machang,P029-13,,,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Machang, Kelantan",Barisan Nasional,BN
ahmad_lai_bujang,Ahmad Lai Bujang,Sarawak,Sibuti,P218-13,http://en.wikipedia.org/wiki/Ahmad_Lai_Bujang,Ahmad Lai Bujang,PBB,Parti Pesaka Bumiputera Bersatu,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Sibuti, Sarawak",Barisan Nasional,BN
ahmad_marzuk_shaary,Ahmad Marzuk Shaary,Kelantan,Bachok,P025-13,,,PAS,Pan-Malaysian Islamic Party,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Bachok, Kelantan",,
ahmad_maslan,Ahmad Maslan,Johor,Pontian,P164-13,http://en.wikipedia.org/wiki/Ahmad_Maslan,Ahmad Maslan,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Pontian, Johor",Barisan Nasional,BN
ahmad_nazlan_idris,Ahmad Nazlan Idris,Pahang,Jerantut,P081-13,,,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Jerantut, Pahang",Barisan Nasional,BN
ahmad_shabery_cheek,Ahmad Shabery Cheek,Terengganu,Kemaman,P040-13,http://en.wikipedia.org/wiki/Ahmad_Shabery_Cheek,Ahmad Shabery Cheek,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kemaman, Terengganu",Barisan Nasional,BN
ahmad_zahid_hamidi,Ahmad Zahid Hamidi,Perak,Bagan Datok,P075-13,http://en.wikipedia.org/wiki/Ahmad_Zahid_Hamidi,Ahmad Zahid Hamidi,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Bagan Datok, Perak",Barisan Nasional,BN
alexander_nanta_linggi,Alexander Nanta Linggi,Sarawak,Kapit,P215-13,http://en.wikipedia.org/wiki/Alexander_Nanta_Linggi,Alexander Nanta Linggi,PBB,Parti Pesaka Bumiputera Bersatu,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kapit, Sarawak",Barisan Nasional,BN
alice_lau_kiong_yieng,Alice Lau Kiong Yieng,Sarawak,Lanang,P211-13,http://en.wikipedia.org/wiki/Alice_Lau_Kiong_Yieng,Alice Lau Kiong Yieng,DAP,Democratic Action Party,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Lanang, Sarawak",Pakatan Harapan,PH
anifah_aman,Anifah Aman,Sabah,Kimanis,P176-13,http://en.wikipedia.org/wiki/Anifah_Aman,Anifah Aman,UMNO,Pertubuhan Kebangsaan Melayu Bersatu,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Kimanis, Sabah",Barisan Nasional,BN
annuar_musa,Annuar Musa,Kelantan,Ketereh,P026-13,http://en.wikipedia.org/wiki/Annuar_Musa,Annuar Musa,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Ketereh, Kelantan",Barisan Nasional,BN
anuar_abd._manap,Anuar Abd. Manap,Johor,Sekijang,P141-13,,,UMNO,United Malays National Organisation,13,"https://en.wikipedia.org/wiki/Members_of_the_Dewan_Rakyat,_13th_Malaysian_Parliament","Sekijang, Johor",Barisan Nasional,BN
