id,name,full_name,birth_date,image,source,term,party,area,start_date,end_date,identifier__parlamento
2,Abílio Sousa e Silva,Abílio Sousa e Silva,1943-04-02,http://app.parlamento.pt/webutils/getimage.aspx?id=2&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2,6,PSD,Viana do Castelo,1991-11-04,1995-10-26,2
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,5,PSD,Bragança,1987-08-13,1991-11-03,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,6,PSD,Bragança,1991-11-04,1995-10-26,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,8,PSD,Bragança,1999-10-25,2002-04-04,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,9,PSD,Bragança,2002-04-05,2005-03-09,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,10,PSD,Bragança,2005-03-10,2009-10-14,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,11,PSD,Bragança,2009-10-15,2011-06-19,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,12,PSD,Bragança,2011-06-20,2015-10-22,3
3,Adão Silva,Adão José Fonseca Silva,1957-10-01,http://app.parlamento.pt/webutils/getimage.aspx?id=3&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,13,PSD,Bragança,2015-10-23,"",3
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,2,PSD,Aveiro,1980-11-13,1983-05-30,4
4,Adérito Campos,Adérito Manuel Soares Campos,1957-08-27,http://app.parlamento.pt/webutils/getimage.aspx?id=4&type=deputado,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,3,PSD,Aveiro,1983-05-31,1985-11-03,4
