id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
b8930ffc-b8d8-4aca-bd3c-df731cb59d9b,Andrés Ingi Jóns­son,Andrés Ingi Jóns­son,,,,Left-Green Movement,left-green_movement,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
ad74e8f9-e6a2-4d7b-997f-13e1f68d0108,Ari Trausti Guðmunds­son,Ari Trausti Guðmunds­son,,,,Left-Green Movement,left-green_movement,area/south_constituency,South Constituency,Alþingi,2016,,,,
cbf1dad1-2738-4197-bc2e-39bd1b28b7d0,Arna Sigurbjörnsdóttir,Arna Sigurbjörnsdóttir,,,,Independence Party,independence_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
12ca0b81-58c4-4b7d-ad39-c8aef2e3ec3e,Benedikt Jóhannesson,Benedikt Jóhannesson,,,,Reform Party,reform_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,
5defb537-8020-4049-9a4d-32463682c97c,Birgir Ármanns­son,Birgir Ármanns­son,,,,Independence Party,independence_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
5c6a6964-fbfb-4bf3-a801-aa34f281824c,Birgitta Jónsdóttir,Birgitta Jónsdóttir,,birgittaj,,Pirate Party,pirate_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,"https://upload.wikimedia.org/wikipedia/commons/d/df/Praha,_PiCe,_Birgitta_Jónsdóttir.jpg",female
56e6ee0a-8cdf-417b-870a-e976da975253,Bjarkey Gunnarsdóttir,Bjarkey Gunnarsdóttir,,,,Left-Green Movement,left-green_movement,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,female
47528816-94cb-4779-aeaf-d30adea9c4a0,Bjarni Benediktsson,Bjarni Benediktsson,,,bjarni.benediktsson.5,Independence Party,independence_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/2/25/Bjarni_Benediktsson_vid_Nordiska_Radets_session_i_Stockholm.jpg,male
45d0f065-109f-4da2-a00b-331fe688bb40,Björt Ólafs­dóttir,Björt Ólafs­dóttir,,,,Bright Future,bright_future,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
139fa041-a3f6-436b-973b-ec54c6b76341,Bryndís Haraldsdóttir,Bryndís Haraldsdóttir,,,,Independence Party,independence_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
d9e83afd-d804-49b7-8eb0-7aeb38369cc2,Brynjar Níelsson,Brynjar Níelsson,,,,Independence Party,independence_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
3265606f-e40d-4a84-a702-ae74b8610fa0,Einar Brynjolfsson,Einar Brynjolfsson,,,,Pirate Party,pirate_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,
1c0fafd6-b222-4d83-866f-cc413342111e,Elsa Lara Arnardóttir,Elsa Lara Arnardóttir,,,,Progressive Party,progressive_party,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,,
90b95589-2b41-44e9-9f9b-9020ff3b4b8c,Eva Pandora Baldurs­dóttir,Eva Pandora Baldurs­dóttir,,,,Pirate Party,pirate_party,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,,
b1127799-897b-4b66-b53c-c7f40a5ac1fb,Eygló Harðardóttir,Eygló Harðardóttir,,,,Progressive Party,progressive_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Eygló_Harðardóttir_-_60_års_Nordisk_Arbejdsmarked_-_norden.org.jpg,female
b0889918-d92d-4cfd-96a6-04e87d34a291,Gudlaugur Thor Thordarson,Gudlaugur Thor Thordarson,,,,Independence Party,independence_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
7cfe3b70-9f6e-4352-b8fe-cdd793fa7ac4,Gunnar Bragi Sveinsson,Gunnar Bragi Sveinsson,,,,Progressive Party,progressive_party,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Gunnar_Bragi_Sveinsson_at_the_Pentagon_2014.jpg,male
4a2b7b7d-b1f0-49b6-8145-66f3daa1c258,Gunnar Hrafn Jóns­son,Gunnar Hrafn Jóns­son,,,,Pirate Party,pirate_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
004d5b23-1269-41ad-83ae-16f877f65534,Guðjón S. Brjánsson,Guðjón S. Brjánsson,,,,Social Democratic Alliance,social_democratic_alliance,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,,
b8824256-9302-4fa0-835f-3006c9a21e5d,Halldóra Mogensen,Halldóra Mogensen,,,,Pirate Party,pirate_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
a2876c82-4ad7-4c47-b368-107584d978ac,Hanna Katrín Friðriks­son,Hanna Katrín Friðriks­son,,,,Reform Party,reform_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
a25e0a3f-2c5c-495f-9d22-b4bcfc65ff8a,Haraldur Benediktsson,Haraldur Benediktsson,,,,Independence Party,independence_party,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,,male
a76d3f31-e1bc-430b-af0f-785813e249d7,Jón Gunnarsson,Jón Gunnarsson,,,,Independence Party,independence_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,male
c5d91648-0c13-4157-96f7-7491e9482219,Jón Steindór Valdimars­son,Jón Steindór Valdimars­son,,,,Reform Party,reform_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
3c4b7fb5-de77-4c92-a720-eeed1393649c,Jón Þór Ólafs­son,Jón Þór Ólafs­son,,,,Pirate Party,pirate_party,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
666fc7e7-1c0f-4dbc-917a-8125f2ece3bc,Jóna Sólveig Elínar­dóttir,Jóna Sólveig Elínar­dóttir,,,,Reform Party,reform_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
cdb8c96e-5b70-44a3-b075-7675db572f85,Katrín Jakobsdóttir,Katrín Jakobsdóttir,,,,Left-Green Movement,left-green_movement,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Katrin_Jakobsdottir_vid_Nordiska_Radets_session_i_Reykjavik.jpg,female
260795e5-2023-4b09-a15f-71f96fd4d8a6,Kolbeinn Óttarsson Proppé,Kolbeinn Óttarsson Proppé,,,,Left-Green Movement,left-green_movement,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
7162705b-03cc-43de-8f8a-25a7c9390d21,Kristján Þór Júlíusson,Kristján Þór Júlíusson,,,,Independence Party,independence_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Kristjan_thor_Juliusson_(Sj.)_Island.jpg,male
12e67365-bc23-4f05-972b-66728883a414,Levi Björn Gunnarsson,Levi Björn Gunnarsson,,,,Pirate Party,pirate_party,area/reykjavik_constituency_north,Reykjavik Constituency North,Alþingi,2016,,,,
436ea6f8-9440-4376-970a-b80c35dcf906,Lilja Alfreðs­dóttir,Lilja Alfreðs­dóttir,,,,Progressive Party,progressive_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
2f64ade7-2a0b-4978-8edf-f536239ee88f,Lilja Rafney Magnúsdóttir,Lilja Rafney Magnúsdóttir,,,,Left-Green Movement,left-green_movement,area/northwest_constituency,Northwest Constituency,Alþingi,2016,,,,
b0bc0953-ba70-43d7-9d32-b3db42e0469f,Logi Már Einarsson,Logi Már Einarsson,,,,Social Democratic Alliance,social_democratic_alliance,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,
a111ad90-669e-4e8e-b2eb-1213910c0e15,Nichole Leigh Mosty,Nichole Leigh Mosty,,,,Bright Future,bright_future,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
a0d85f28-8c6c-482f-ae01-e92cbc4ec7ad,Njáll Trausti Friðberts­son,Njáll Trausti Friðberts­son,,,,Independence Party,independence_party,area/northeast_constituency,Northeast Constituency,Alþingi,2016,,,,
fccb522b-cbba-4d00-a371-479d209fd444,Oddný G. Harðardóttir,Oddný G. Harðardóttir,,,,Social Democratic Alliance,social_democratic_alliance,area/south_constituency,South Constituency,Alþingi,2016,,,,female
e6daf1e2-e28d-4797-ac27-175e0b55fa48,Pawel Bartoszek,Pawel Bartoszek,,,,Reform Party,reform_party,area/reykjavik_constituency_south,Reykjavik Constituency South,Alþingi,2016,,,,
e593879f-63d0-4c60-b669-dc161906e1e5,Páll Magnús­son,Páll Magnús­son,,,,Independence Party,independence_party,area/south_constituency,South Constituency,Alþingi,2016,,,,
eb5c63d3-7d12-4f96-b3cb-b61c0970158f,Rósa Björk Brynjólfs­dóttir,Rósa Björk Brynjólfs­dóttir,,,,Left-Green Movement,left-green_movement,area/southwest_constituency,Southwest Constituency,Alþingi,2016,,,,
